# Échantillon « alternance » — 22 août 2026, combats 1552052456 et 1552052503.
# `wakfu.log` SEUL, session entière depuis son `log path=`, dans l'ordre EXACT
# du fichier (ADR 0008). Deux clients depuis la même installation launcher.
# Produit par `tools/capture-multi-account.sh` : noms des Personnages joués,
# ID d'entité, chemins et IP locale anonymisés, et canaux filtrés en liste
# blanche — aucune retouche à la main, contrairement à `revive2`.
#
# ⚠️ Les alias sont PAR CAPTURE : ici PJ1 est l'Eniripsa (breed 7) et PJ2
# l'Enutrof (breed 3). Ce sont les mêmes personnages que PJ4 et PJ3 de
# `revive2-2026-08-21`, dans l'autre sens. Leurs ID d'entité, eux, sont stables
# d'un jour à l'autre — `ENTITE2` et `ENTITE3` ici — ce qui reprolonge l'ADR
# 0002 à travers un redémarrage de PC.
#
# CE QUE CET ÉCHANTILLON ÉTABLIT
#
#  1. LE COMPTAGE TOMBE JUSTE CONTRE UNE VÉRITÉ TERRAIN NOTÉE À LA MAIN.
#     Combat 1552052456 : 12 lignes `reportée` brutes, `k=2`, donc 6 fins de
#     tour — et Damien a joué 3 rounds complets à deux personnages, soit
#     exactement 6 tours. C'est la première vérification de la règle de lecture
#     de `k` hors des fixtures, sur de vrais pseudos et de vrais ID d'entité.
#     Le Tour courant y va de 1 à 4, un cran par bouclage.
#
#  2. LES DEUX CLIENTS ÉCRIVENT EN ALTERNANCE — ce qui CONTREDIT `revive2`.
#     Les deux copies de chaque frontière sont à 3-47 ms et 1 à 8 lignes
#     d'écart, là où `revive2` les avait à 345 lignes, par blocs. Le phénomène
#     des blocs ne s'est donc PAS reproduit sur une seconde session, même
#     installation, mêmes personnages. Conséquence : la règle « `k` monte → on
#     rejoue le combat » n'est pas exercée ici — `k` monte de 1 à 2 pendant la
#     rafale d'ouverture, 12 s avant la première frontière, ce qui est le chemin
#     nominal de l'ADR 0009. La réserve du ticket sur le mécanisme des blocs
#     reste donc entière, avec maintenant une session pour et une contre.
#
#  3. LES ENTITÉS N'ARRIVENT PAS ENSEMBLE, mesuré une fois de plus : PJ1
#     rejoint à 14:29:53,248 et PJ2 à 14:29:55,749, 2,5 s plus tard. Lire `k`
#     comme le nombre d'entités jouées vues donnerait 1, et l'overlay deux fois
#     trop rapide.
#
#  4. LES DEUX COPIES D'UNE FRONTIÈRE NE PORTENT PAS LA MÊME VALEUR : `59` puis
#     `60` à 3 ms, `123` puis `124` à 17 ms. Dédupliquer sur le texte est faux.
#
#  5. UNE INVOCATION EST DANS LE ROSTER, PAS DANS LA ROTATION. Le `Phorreur`
#     du premier combat porte `obstacleId : 3` et `isControlledByAI=true`, et
#     n'a fait avancer aucun tour.
#
# CE QU'IL PORTE ET QUI EST HORS PÉRIMÈTRE — le combat 1552052503
#
#  6. UN CLIENT FERMÉ PUIS RELANCÉ EN PLEIN COMBAT. Il écrit
#     `Reason : {Quit Request From Client}` puis `{UI Closed}` à 33 ms, un
#     nouveau `log path=`, et en rejoignant il RÉÉMET UNE RAFALE `[_FL_]`
#     ENTIÈRE du même `fightId`, invocation comprise — ce que la grammaire
#     disait ignorer. Trois conséquences, toutes visibles ici : le marqueur
#     d'arrêt d'un seul client referme le combat alors que l'autre y est encore
#     (le `End fight` n'arrive que 29 s plus tard) ; le nouveau `log path=`
#     déplace la borne de session APRÈS l'ouverture du combat ; et la rafale du
#     rejoignant est une copie de plus, donc `k` se lit à 3 pour deux clients.
#     Le cas est ÉCARTÉ DU PÉRIMÈTRE — les fenêtres du jeu ne sont pas censées
#     se fermer en plein combat. Voir « Points de rupture connus ».
#
#  7. DEUX MONSTRES HOMONYMES dans un vrai log : deux `Mama Wapin`, `ENTITE5`
#     et `ENTITE6`. Le nom n'est pas un identifiant, et l'ID les sépare.
#
# Réserve : aucun pseudo à apostrophe ni à tiret, ici non plus. Rien ne teste
# encore ce qu'un nom comme `Thor'Rompiche` subit dans une ligne de combat.
 INFO 14:29:02,352 [main] (com.ankamagames.wakfu.client.WakfuClient:213) - log path=/home/USER/.config/zaap/gamesLogs/wakfu
 INFO 14:29:02,693 [MessageScheduler] (aBA:299) - MessageScheduler running
 INFO 14:29:02,774 [AWT-EventQueue-0] (cFw:27) - Starting cFC...
 WARN 14:29:02,775 [AWT-EventQueue-0] (cFC:114) - Updater communication service is not currently configured: Service is unactivated.
 INFO 14:29:02,799 [AWT-EventQueue-0] (UH:34) - GameDate initialized. Timezone : sun.util.calendar.ZoneInfo[id="UTC",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null]
 INFO 14:29:02,803 [AWT-EventQueue-0] (ahF:99) - Initializing GLApplication UI
 INFO 14:29:03,082 [AWT-EventQueue-0] (ahF:103) - GLappUI : Workspace created
 INFO 14:29:03,083 [AWT-EventQueue-0] (ahF:107) - GLappUI : Renderer created
 INFO 14:29:03,113 [AWT-EventQueue-0] (ahF:134) - GLappUI : Frame created
 INFO 14:29:03,160 [AWT-EventQueue-0] (ahF:422) - Applying resolution : {Resolution : 1712x1398x-1 Windowed 144Hz Prefered screen ID: :0.0 x: 2784 y: 37 hide taskbar: false}
 INFO 14:29:03,507 [AWT-EventQueue-0] (ahF:450) - Surface scale : [1.0, 1.0]
 INFO 14:29:03,512 [AWT-EventQueue-0] (ahF:354) - GLappUI : GL Rendering started
 INFO 14:29:04,121 [AWT-EventQueue-0] (fOX:2008) - Custom texture loaded : file:/home/USER/.config/Ankama/Wakfu/./themes/theme_Ymoka_Nightflow/theme/images/themeSimple.png
 INFO 14:29:04,122 [AWT-EventQueue-0] (fOX:2008) - Custom texture loaded : file:/home/USER/.config/Ankama/Wakfu/./themes/theme_Ymoka_Nightflow/theme/images/themeSimple2.png
 INFO 14:29:04,122 [AWT-EventQueue-0] (fOX:2008) - Custom texture loaded : file:/home/USER/.config/Ankama/Wakfu/./themes/theme_Ymoka_Nightflow/theme/images/themeSimple3.png
 INFO 14:29:04,122 [AWT-EventQueue-0] (fOX:2008) - Custom texture loaded : file:/home/USER/.config/Ankama/Wakfu/./themes/theme_Ymoka_Nightflow/theme/images/themeDefault.png
 INFO 14:29:04,122 [AWT-EventQueue-0] (fOX:2008) - Custom texture loaded : file:/home/USER/.config/Ankama/Wakfu/./themes/theme_Ymoka_Nightflow/theme/images/themeDefault2.png
 INFO 14:29:04,123 [AWT-EventQueue-0] (fOX:2008) - Custom texture loaded : file:/home/USER/.config/Ankama/Wakfu/./themes/theme_Ymoka_Nightflow/theme/images/themeOver.png
 INFO 14:29:04,123 [AWT-EventQueue-0] (fOX:2008) - Custom texture loaded : file:/home/USER/.config/Ankama/Wakfu/./themes/theme_Ymoka_Nightflow/theme/images/themeOver2.png
 INFO 14:29:04,123 [AWT-EventQueue-0] (fOX:2008) - Custom texture loaded : file:/home/USER/.config/Ankama/Wakfu/./themes/theme_Ymoka_Nightflow/theme/images/themePressed.png
 INFO 14:29:04,123 [AWT-EventQueue-0] (fOX:2008) - Custom texture loaded : file:/home/USER/.config/Ankama/Wakfu/./themes/theme_Ymoka_Nightflow/theme/images/themePressed2.png
 INFO 14:29:04,124 [AWT-EventQueue-0] (fOX:2008) - Custom texture loaded : file:/home/USER/.config/Ankama/Wakfu/./themes/theme_Ymoka_Nightflow/theme/images/themeDisabled.png
 INFO 14:29:04,124 [AWT-EventQueue-0] (fOX:2008) - Custom texture loaded : file:/home/USER/.config/Ankama/Wakfu/./themes/theme_Ymoka_Nightflow/theme/images/themeDisabled2.png
 INFO 14:29:04,124 [AWT-EventQueue-0] (fOX:2008) - Custom texture loaded : file:/home/USER/.config/Ankama/Wakfu/./themes/theme_Ymoka_Nightflow/theme/images/selectedThemeDefault.png
