# Échantillon multi-compte — 20 août 2026
#
# Deux clients Wakfu lancés depuis la même installation launcher Ankama,
# écrivant dans le même ~/.config/zaap/gamesLogs/wakfu/logs/wakfu_chat.log.
# PJ1 = breed 6, PJ2 = breed 2. Noms de personnages anonymisés.
# Combat 1552030105 = Sac à patates (mannequin, ne joue jamais).
# Combat 1552030238 = Mama Wapin (vrai monstre, joue un tour).
#
18:38:41,614 - [Information (combat)] PJ1: Pioche (+10 Niv.)
18:38:41,617 - [Information (combat)] PJ1: 0 PW (Pioche mélangée)
18:38:41,618 - [Information (combat)] PJ1: Pioche (+10 Niv.)
18:38:41,621 - [Information (combat)] PJ1: 0 PW (Pioche mélangée)
18:39:49,363 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:39:50,243 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:39:50,245 - [Information (combat)] PJ1: Veine (+20 Niv.)
18:39:50,374 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:39:50,376 - [Information (combat)] PJ1: Veine (+20 Niv.)
18:40:56,883 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:40:56,923 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:40:57,895 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:40:57,933 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:41:34,185 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:41:34,201 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:41:35,194 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:41:35,195 - [Information (combat)] PJ1: Veine (+40 Niv.)
18:41:35,212 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:41:35,214 - [Information (combat)] PJ1: Veine (+40 Niv.)
18:42:12,488 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:42:12,520 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:42:13,097 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:42:13,097 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:42:49,901 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:42:50,007 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:42:50,914 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:42:50,915 - [Information (combat)] PJ1: Veine (+60 Niv.)
18:42:51,017 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:42:51,019 - [Information (combat)] PJ1: Veine (+60 Niv.)
18:43:27,228 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:43:27,326 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:43:28,238 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:43:28,337 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:44:04,531 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:44:04,605 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:44:05,541 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:44:05,543 - [Information (combat)] PJ1: Veine (+80 Niv.)
18:44:05,614 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:44:05,615 - [Information (combat)] PJ1: Veine (+80 Niv.)
18:44:41,901 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:44:41,910 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:44:42,911 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:44:42,918 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:45:19,187 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:45:19,191 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:45:20,197 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:45:20,198 - [Information (combat)] PJ1: Veine (+100 Niv.)
18:45:20,201 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:45:20,203 - [Information (combat)] PJ1: Veine (+100 Niv.)
18:45:56,471 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:45:56,480 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:45:57,481 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:45:57,489 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:46:33,484 - [Information (combat)] PJ1 lance le sort Capucine (Critiques)
18:46:33,523 - [Information (combat)] PJ1 lance le sort Capucine (Critiques)
18:46:34,427 - [Information (combat)] Sac à patates: -594 PV (Eau)
18:46:34,429 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:46:34,490 - [Information (combat)] Sac à patates: -594 PV (Eau)
18:46:34,492 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:46:34,590 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:46:34,600 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:46:38,120 - [Information (combat)] PJ2 lance le sort Déplumage
18:46:38,188 - [Information (combat)] PJ2 lance le sort Déplumage
18:46:39,125 - [Information (combat)] Sac à patates: tourne son regard
18:46:39,127 - [Information (combat)] Sac à patates: -77 PV  (Air)
18:46:39,293 - [Information (combat)] Sac à patates: tourne son regard
18:46:39,294 - [Information (combat)] Sac à patates: -77 PV  (Air)
18:46:43,196 - [Information (combat)] 27 secondes reportées pour le tour suivant.
18:46:43,221 - [Information (combat)] 27 secondes reportées pour le tour suivant.
18:46:43,293 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:46:43,336 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:47:21,115 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:47:21,210 - [Information (combat)] 0 seconde reportée pour le tour suivant.
18:47:22,131 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:47:22,224 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:47:33,846 - [Information (combat)] PJ2 est KO !
18:47:33,847 - [Information (combat)] PJ2 est KO !
18:47:36,345 - [Information (combat)] PJ1 est KO !
18:47:42,882 - [Information (jeu)] Wingardium Nozadah (COMPTE) vient de quitter notre monde.
18:47:45,911 - [Information (jeu)] Nozadah (COMPTE) a rejoint notre monde.
18:48:46,198 - [Information (combat)] PJ1: Pioche (+10 Niv.)
18:48:46,199 - [Information (combat)] PJ1: 0 PW (Pioche mélangée)
