# Échantillon « paquet de 4 monstres » — 20 août 2026, combat 1568041141
#
# Protocole du ticket #13 : deux clients depuis la même installation launcher
# Ankama, position validée en ~4 s, PUIS un sort par personnage à CHAQUE tour
# dès le premier — l'ancre qui permet d'apparier tours réels et frontières.
# PJ1 = Ecaflip (breed 6), sort d'ancrage Capucine.
# PJ2 = Osamodas (breed 2), sort d'ancrage Déplumage.
# 4 monstres pour 2 personnages : 2 Moogrron, 2 Moomouche.
#
# Ce que cet échantillon établit :
#  - aucune ligne « reportée » avant le premier sort => la fin du placement est
#    SILENCIEUSE, la première frontière est un vrai tour ;
#  - 4 frontières pour PJ1 et 4 pour PJ2, exactement le nombre de tours
#    terminés (le 5e tour de PJ1 n'en a pas : le combat finit dedans) ;
#  - le report de secondes est PAR PERSONNAGE (deux séries entrelacées) ;
#  - l'écart entre les deux copies d'une même ligne monte à 1477 ms, donc
#    au-delà du tour réel le plus court jamais mesuré (1169 ms).
#
20:17:46,837 - [Information (jeu)] Vous ne suivez plus PJ1.
20:17:50,994 - [Information (combat)] PJ1: Cible du Troupeau (Niv. 1)
20:17:50,994 - [Information (combat)] PJ1: Cible du Troupeau (Niv. 1)
20:17:51,000 - [Information (combat)] PJ1: Pioche (+10 Niv.)
20:17:51,001 - [Information (combat)] PJ1: 0 PW (Pioche mélangée)
20:17:51,005 - [Information (combat)] PJ1: Pioche (+10 Niv.)
20:17:51,006 - [Information (combat)] PJ1: 0 PW (Pioche mélangée)
20:17:55,990 - [Information (combat)] PJ1 lance le sort Capucine
20:17:55,997 - [Information (combat)] PJ1 lance le sort Capucine
20:17:56,891 - [Information (combat)] Moogrron: -354 PV (Eau)
20:17:56,894 - [Information (combat)] Moogrron: -354 PV (Eau)
20:17:58,596 - [Information (combat)] 58 secondes reportées pour le tour suivant.
20:17:58,628 - [Information (combat)] 59 secondes reportées pour le tour suivant.
20:17:58,688 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
20:17:58,689 - [Information (combat)] PJ1: Veine (+20 Niv.)
20:17:58,692 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
20:17:58,693 - [Information (combat)] PJ1: Veine (+20 Niv.)
20:18:00,594 - [Information (combat)] Moomouche lance le sort Piqûre
20:18:00,598 - [Information (combat)] Moomouche lance le sort Piqûre
20:18:01,613 - [Information (combat)] PJ2: -62 PV (Air)
20:18:01,614 - [Information (combat)] PJ2: -15 Résistance Air
20:18:01,699 - [Information (combat)] PJ2: -62 PV (Air)
20:18:01,700 - [Information (combat)] PJ2: -15 Résistance Air
20:18:04,542 - [Information (combat)] PJ2 lance le sort Déplumage
20:18:04,580 - [Information (combat)] PJ2 lance le sort Déplumage
20:18:05,984 - [Information (combat)] 61 secondes reportées pour le tour suivant.
20:18:06,011 - [Information (combat)] 61 secondes reportées pour le tour suivant.
20:18:06,081 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
20:18:06,130 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
20:18:06,835 - [Information (combat)] Moomouche lance le sort Piqûre
20:18:06,886 - [Information (combat)] Moomouche lance le sort Piqûre
20:18:07,919 - [Information (combat)] PJ1: -54 PV (Air)
20:18:07,920 - [Information (combat)] PJ1: -15 Résistance Air
20:18:07,984 - [Information (combat)] PJ1: -54 PV (Air)
20:18:07,984 - [Information (combat)] PJ1: -15 Résistance Air
20:18:08,326 - [Information (combat)] Moomouche lance le sort Phéromouche
20:18:08,388 - [Information (combat)] Moomouche lance le sort Phéromouche
20:18:10,238 - [Information (combat)] PJ1: -43 PV (Air)
20:18:10,241 - [Information (combat)] PJ1: Phéromones (Niv. 1)
20:18:10,289 - [Information (combat)] PJ1: -43 PV (Air)
20:18:10,291 - [Information (combat)] PJ1: Phéromones (Niv. 1)
20:18:11,634 - [Information (combat)] Moogrron lance le sort Bombouzement
20:18:11,685 - [Information (combat)] Moogrron lance le sort Bombouzement
20:18:13,220 - [Information (combat)] PJ1: -88 PV  (Terre)
20:18:13,225 - [Information (combat)] Moogrron: Pose le Glyphe Boubouze
20:18:13,227 - [Information (combat)] Moogrron: Résistance Champêtre (+1 Niv.)
20:18:13,227 - [Information (combat)] Moogrron: 20 Résistance Élémentaire
20:18:13,228 - [Information (combat)] Moogrron: Résistance Champêtre (+1 Niv.)
20:18:13,228 - [Information (combat)] Moogrron: 20 Résistance Élémentaire
20:18:13,229 - [Information (combat)] Moogrron: Pose le Glyphe Malédiction de la Boubouze
20:18:13,229 - [Information (combat)] PJ1: n'est plus sous l'emprise de 'Phéromones'
20:18:13,230 - [Information (combat)] PJ1: Nauséabond (+20 Niv.)
20:18:13,232 - [Information (combat)] PJ1: -20 Résistance Terre
20:18:13,233 - [Information (combat)] Moogrron: Pose le Glyphe Boubouze
20:18:13,233 - [Information (combat)] Moogrron: n'est plus sous l'emprise de 'Résistance Champêtre'
20:18:13,234 - [Information (combat)] Moogrron: Résistance Champêtre (+2 Niv.)
20:18:13,234 - [Information (combat)] Moogrron: 40 Résistance Élémentaire
20:18:13,235 - [Information (combat)] Moogrron: n'est plus sous l'emprise de 'Résistance Champêtre'
20:18:13,236 - [Information (combat)] Moogrron: Résistance Champêtre (+2 Niv.)
20:18:13,236 - [Information (combat)] Moogrron: 40 Résistance Élémentaire
20:18:13,290 - [Information (combat)] PJ1: -88 PV  (Terre)
20:18:13,292 - [Information (combat)] Moogrron: Pose le Glyphe Boubouze
20:18:13,293 - [Information (combat)] Moogrron: Résistance Champêtre (+1 Niv.)
20:18:13,293 - [Information (combat)] Moogrron: 20 Résistance Élémentaire
20:18:13,294 - [Information (combat)] Moogrron: Résistance Champêtre (+1 Niv.)
20:18:13,294 - [Information (combat)] Moogrron: 20 Résistance Élémentaire
20:18:13,295 - [Information (combat)] Moogrron: Pose le Glyphe Malédiction de la Boubouze
20:18:13,295 - [Information (combat)] PJ1: n'est plus sous l'emprise de 'Phéromones'
20:18:13,296 - [Information (combat)] PJ1: Nauséabond (+20 Niv.)
20:18:13,297 - [Information (combat)] PJ1: -20 Résistance Terre
20:18:13,297 - [Information (combat)] Moogrron: Pose le Glyphe Boubouze
20:18:13,297 - [Information (combat)] Moogrron: n'est plus sous l'emprise de 'Résistance Champêtre'
20:18:13,298 - [Information (combat)] Moogrron: Résistance Champêtre (+2 Niv.)
20:18:13,298 - [Information (combat)] Moogrron: 40 Résistance Élémentaire
20:18:13,299 - [Information (combat)] Moogrron: n'est plus sous l'emprise de 'Résistance Champêtre'
20:18:13,299 - [Information (combat)] Moogrron: Résistance Champêtre (+2 Niv.)
20:18:13,300 - [Information (combat)] Moogrron: 40 Résistance Élémentaire
20:18:13,389 - [Information (combat)] Moogrron lance le sort Tête de Moogrr
20:18:13,427 - [Information (combat)] Moogrron lance le sort Tête de Moogrr
20:18:14,491 - [Information (combat)] PJ1: -97 PV (Terre)
20:18:14,518 - [Information (combat)] PJ1: -97 PV (Terre)
20:18:14,892 - [Information (combat)] PJ1: est poussé de 1 case
20:18:14,927 - [Information (combat)] PJ1: est poussé de 1 case
20:18:15,845 - [Information (combat)] Moogrron lance le sort Tête de Moogrr
20:18:15,892 - [Information (combat)] Moogrron lance le sort Tête de Moogrr
20:18:16,943 - [Information (combat)] PJ1: -106 PV (Terre)
20:18:16,989 - [Information (combat)] PJ1: -106 PV (Terre)
20:18:17,350 - [Information (combat)] PJ1: est poussé de 1 case
20:18:17,392 - [Information (combat)] PJ1: est poussé de 1 case
20:18:17,909 - [Information (combat)] PJ1: n'est plus sous l'emprise de 'Nauséabond'
20:18:17,947 - [Information (combat)] PJ1: n'est plus sous l'emprise de 'Nauséabond'
20:18:22,617 - [Information (combat)] PJ1 lance le sort Capucine
20:18:22,619 - [Information (combat)] PJ1 lance le sort Capucine
20:18:24,900 - [Information (combat)] 89 secondes reportées pour le tour suivant.
20:18:24,914 - [Information (combat)] 88 secondes reportées pour le tour suivant.
20:18:25,017 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
20:18:25,018 - [Information (combat)] PJ1: Veine (+40 Niv.)
20:18:25,018 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
20:18:25,019 - [Information (combat)] PJ1: Veine (+40 Niv.)
20:18:25,035 - [Information (combat)] Moomouche lance le sort Phéromouche
20:18:25,035 - [Information (combat)] Moomouche lance le sort Phéromouche
20:18:26,847 - [Information (combat)] PJ2: -56 PV  (Air)
20:18:26,848 - [Information (combat)] PJ2: Phéromones (Niv. 1)
20:18:26,849 - [Information (combat)] Moomouche lance le sort Piqûre
20:18:26,914 - [Information (combat)] PJ2: -56 PV  (Air)
20:18:26,916 - [Information (combat)] PJ2: Phéromones (Niv. 1)
20:18:26,916 - [Information (combat)] Moomouche lance le sort Piqûre
20:18:27,913 - [Information (combat)] PJ2: -71 PV  (Air)
20:18:27,914 - [Information (combat)] PJ2: -15 Résistance Air
20:18:28,019 - [Information (combat)] PJ2: -71 PV  (Air)
20:18:28,019 - [Information (combat)] PJ2: -15 Résistance Air
20:18:31,704 - [Information (combat)] PJ2 lance le sort Déplumage
20:18:31,748 - [Information (combat)] PJ2 lance le sort Déplumage
20:18:33,110 - [Information (combat)] 94 secondes reportées pour le tour suivant.
20:18:33,239 - [Information (combat)] 94 secondes reportées pour le tour suivant.
