# Échantillon « réanimation » — 20 août 2026, combats 1616030353 et 1584017389
#
# Deux clients depuis la même installation launcher Ankama. PJ3 et PJ4.
# Noms de personnages anonymisés, ID d'entité tronqués.
#
# Repassé dans la liste blanche de canaux de `scrub_chat` (tools/capture-multi-account.sh) :
# 15 lignes de chat public — Commerce, Recrutement, Communauté, Proximité,
# Politique — laissées passer par l'ancienne liste noire ont été retirées.
#
# Ce que cet échantillon établit (capturé en résolvant #14, matière pour #10) :
#  - la RÉANIMATION est tracée DEUX FOIS : `PJ3: est réanimé` (avec deux-points)
#    puis `PJ3 est ressuscité !` (sans), 565 ms d'écart, chacune dupliquée ;
#  - `est hors-combat !` est la forme des MONSTRES *et* des INVOCATIONS
#    (`Phorreur Adulte est hors-combat !`), `est KO !` celle des personnages :
#    la séparation suit exactement `isControlledByAI` ;
#  - un personnage peut TOMBER AVANT D'AVOIR JOUÉ (1584017389 : les monstres
#    jouent en premier, PJ3 tombe sans un seul tour) ;
#  - un combat entier peut ne contenir AUCUNE frontière (1584017389, dans aucun
#    canal) parce qu'il ne contient aucun tour TERMINÉ — le combat finit dans
#    le tour du seul personnage debout. Contrôle sur 1616030353 : 3 frontières
#    pour exactement 3 tours terminés. La règle de #13 tient ;
#  - il existe des passifs de DÉBUT de tour (`PJ4: 1 PA (Force vitale)`),
#    distinguables des passifs de fin par le côté de la frontière où ils
#    tombent — troisième canal d'attribution, mais dépendant de la classe.
21:44:01,063 - [Information (jeu)] Vous ne suivez plus PJ4.
21:44:21,531 - [Information (combat)] PJ3: Invoque un(e) Phorreur Immature 
21:44:21,547 - [Information (combat)] PJ3: Invoque un(e) Phorreur Immature 
21:44:21,569 - [Information (combat)] PJ4: 1 PA (Force vitale)
21:44:21,570 - [Information (combat)] PJ4: 30 % Soins réalisés (Ponction)
21:44:21,584 - [Information (combat)] PJ4: 1 PA (Force vitale)
21:44:21,585 - [Information (combat)] PJ4: 30 % Soins réalisés (Ponction)
21:44:42,156 - [Information (combat)] PJ4 lance le sort Contre-nature
21:44:42,166 - [Information (combat)] PJ4 lance le sort Contre-nature
21:44:43,368 - [Information (combat)] PJ4: Contre-nature (Niv. 1)
21:44:43,463 - [Information (combat)] PJ4: Contre-nature (Niv. 1)
21:44:46,361 - [Information (combat)] PJ4 lance le sort Vivification
21:44:46,395 - [Information (combat)] PJ4 lance le sort Vivification
21:44:46,924 - [Information (combat)] PJ3: +0 PV (Eau)
21:44:46,966 - [Information (combat)] PJ3: +0 PV (Eau)
21:44:47,464 - [Information (combat)] PJ4: -1 PV (Neutre) (Ponction)
21:44:47,465 - [Information (combat)] PJ3: 46 Esquive
21:44:47,495 - [Information (combat)] PJ4: -1 PV (Neutre) (Ponction)
21:44:47,497 - [Information (combat)] PJ3: 46 Esquive
21:44:51,866 - [Information (combat)] PJ4: 2 PW (Grâce naturelle)
21:44:51,867 - [Information (combat)] 38 secondes reportées pour le tour suivant.
21:44:51,900 - [Information (combat)] PJ4: 2 PW (Grâce naturelle)
21:44:51,901 - [Information (combat)] 38 secondes reportées pour le tour suivant.
21:44:52,901 - [Information (combat)] Chacha lance le sort Griffouille
21:44:52,969 - [Information (combat)] Chacha lance le sort Griffouille
21:44:53,371 - [Information (combat)] Phorreur Immature: -18 PV (Terre)
21:44:53,371 - [Information (combat)] Chacha lance le sort Attendrissement
21:44:53,469 - [Information (combat)] Phorreur Immature: -18 PV (Terre)
21:44:53,470 - [Information (combat)] Chacha lance le sort Attendrissement
